Star,RA,Dec,Period,Method,Gaia_Dist,Calc_Dist,Dust_Av,Status
V* V Hyi,7.124264646170001,-80.91233854023,0.5940,RR_Lyrae(K),,3860.0,0.00,No Gaia Ref
ASAS J093731-1816.2,144.38063424177,-18.27024174221,0.5203,RR_Lyrae(K),,3865.2,0.00,No Gaia Ref
NSVS   2909041,258.99825038895995,54.46934100865,0.6410,RR_Lyrae(K),,3701.6,0.00,No Gaia Ref
V* V387 Gem,108.02363074347,17.3800035121,0.7249,RR_Lyrae(K),,3912.7,0.00,No Gaia Ref
CRTS J054017.0-285107,85.07096438572,-28.85196212792,1.6544,None,,0,0.00,Processing
ATO J078.2331+03.4276,78.23316158609,3.427695832,4.8484,None,,0,0.00,Processing
CRTS J115026.2-245002,177.60925220771,-24.833876925450003,0.5741,RR_Lyrae(K),,4515.2,0.00,No Gaia Ref
SOPS    I e-28,167.529839291,-74.25383790784,7.8111,Cepheid(IR),,11340.1,0.00,No Gaia Ref
V* V539 Cen,219.58732332877,-41.76742447072,0.5428,RR_Lyrae(K),,4069.6,0.00,No Gaia Ref
V* UX Pav,267.93819116343,-61.88331270298,2.2762,Cepheid(IR),,19630.1,0.00,No Gaia Ref
V* V419 Dra,286.82166264456,55.37075961800001,0.6005,RR_Lyrae(K),,4249.8,0.00,No Gaia Ref
CRTS J185028.8-480028,282.61974686878,-48.00783384911,0.5604,RR_Lyrae(V),,3784.4,0.00,No Gaia Ref
CRTS J164145.6-202949,250.44071330035,-20.49658351816,0.5138,RR_Lyrae(V),,3784.4,0.00,No Gaia Ref
V* CR Aur,97.2450838591,43.76243981851,0.5910,RR_Lyrae(K),,3537.9,0.00,No Gaia Ref
CRTS J141151.4-335115,212.96404427124,-33.8544756562,16.3605,None,,0,0.00,Processing
CRTS J234001.0-500117,355.00395340332,-50.02185996027,4.9214,Cepheid(IR),,34836.8,0.00,No Gaia Ref
CRTS J063656.3-251334,99.2349384749,-25.2258762583,0.6389,RR_Lyrae(V),,3784.4,0.00,No Gaia Ref
CRTS J034611.6-272504,56.54825286583001,-27.4178183725,0.6188,RR_Lyrae(V),,3784.4,0.00,No Gaia Ref
LINEAR 4063417,189.39966933968,-17.64958191563,0.7007,RR_Lyrae(K),,4592.1,0.00,No Gaia Ref
[DCD2013] CSS J140751.2-105903,211.96375668176,-10.98438286182,0.8843,RR_Lyrae(K),,4354.4,0.00,No Gaia Ref
CRTS J201018.0-480717,302.5743909114117,-48.12189275691277,1.8371,Cepheid(IR),,16826.4,0.00,No Gaia Ref
CRTS J194947.6-261434,297.447706022,-26.242099045210004,0.8815,RR_Lyrae(K),,4646.0,0.00,No Gaia Ref
CRTS J102208.3-294037,155.53437548163,-29.67720830717,0.6216,RR_Lyrae(V),,3768.8,0.00,No Gaia Ref
CRTS J052516.4-315258,81.31927826243,-31.883099277,0.6344,RR_Lyrae(V),,3767.0,0.00,No Gaia Ref
ATO J350.3252-03.9346,350.32517504264,-3.93462188149,0.6311,RR_Lyrae(K),,3989.0,0.00,No Gaia Ref
V* MP Her,272.56366911534,31.419145672940004,1.8193,Cepheid(IR),,16253.2,0.00,No Gaia Ref
CRTS J143653.6-392239,219.22399176142787,-39.37741789247361,11.0274,Cepheid(IR),,51378.2,0.00,No Gaia Ref
V* V558 Cen,222.2529142813,-41.44888702922,0.6228,RR_Lyrae(K),,4012.0,0.00,No Gaia Ref
NSVS   9230083,29.88059364466,7.685509942909999,0.5755,RR_Lyrae(K),,3572.6,0.00,No Gaia Ref
