name,ra,dec,sp_type,v_mag,parallax,plx_error,snr,reliable
V* U Hya,159.38863730625002,-13.384542478611111,C-N5,4.82,4.8,0.23,20.87,True
V* Y CVn,191.28260867319,45.44025730789,C-N5,4.87,3.2222,0.1744,18.48,True
*  19 Psc,356.59798519723995,3.4868108470199997,C-N6,5.02,4.0894,0.2124,19.25,True
V* UU Aur,99.13682126541002,38.44550528378,C-N5-,5.25,2.0387,0.1661,12.27,True
V* U Ant,158.80354589478,-39.56259000568,C-N3,5.38,3.6154,0.0943,38.34,True
V* TW Hor,48.1381662957,-57.321549230420004,C-N5IIIb:,5.71,2.1714,0.0703,30.89,True
V* R Scl,21.7420579928,-32.54317756523,C-N5+,5.72,2.5437,0.0786,32.36,True
V* X TrA,228.57989792190997,-70.07947591614,"C5,5",5.81,2.8588,0.1525,18.75,True
V* V460 Cyg,325.50451287212,35.51019997682,C-N5,5.84,1.6823,0.1203,13.98,True
V* U Cyg,304.9024776324,47.89419352273,"C9,2e",5.9,1.2992,0.03,43.31,True
V* UX Dra,290.39799262491,76.55959921158,C-N5,5.94,2.1294,0.0944,22.56,True
V* VY UMa,161.26679388016,67.41138307285,C-N5,5.95,2.3813,0.0777,30.65,True
V* T Ind,320.03951460007,-45.02189128616,"C7,2",6.0,1.6232,0.0716,22.67,True
V* BL Ori,96.36739264613,14.721992263719999,C-N5-,6.0,1.3544,0.0877,15.44,True
V* W Ori,76.34882946369,1.17762628862,C-N5,6.1,2.0398,0.1585,12.87,True
HD 176537,285.40725058993,-22.69536513997,K3III,6.215,1.7301,0.0375,46.14,True
V* NP Pup,103.61118148704001,-42.36557181146,C-N4.5,6.27,1.7266,0.0414,41.71,True
V* RY Dra,194.10796348399998,65.99439212941,C-N3III:,6.34,2.4891,0.048,51.86,True
V* X Cnc,133.84534140623,17.2312730583,C-N4.5,6.4,1.75,0.1194,14.66,True
V* Y Pav,321.06979140641,-69.73387784589,"C7,3",6.41,1.2418,0.0986,12.59,True
V* RS Cyg,303.34859036417,38.72901945302,C-N5.5,6.5,1.3294,0.0227,58.56,True
V* W CMa,107.01431690315002,-11.923276711940002,C-N5,6.56,1.4527,0.0513,28.32,True
V* SS Vir,186.30997843541996,0.7697074278800001,C-N4.5:,6.6,1.8106,0.0758,23.89,True
V* Y Hya,147.76549053737,-23.017319755579997,C-N4.5III:,6.63,2.1991,0.0961,22.88,True
V* V Pav,265.82891594014,-57.72396938392,"C6,4",6.673,1.7925,0.1347,13.31,True
HD 178690,287.15706250855,24.179305569830003,C,6.68,0.9649,0.0232,41.59,True
V* AQ Sgr,293.5791439481195,-16.3741802523725,C-N5,6.7,1.7946,0.1671,10.74,True
V* AB Ant,152.97425013375,-35.32473603413,C-N4.5III:,6.74,1.2235,0.0275,44.49,True
V* S Sct,282.58348657969,-7.90761921371,C-N5,6.8,2.3568,0.0528,44.64,True
V* V Hya,162.90525661376,-21.25009275779,C-N:6,6.8,2.3095,0.108,21.38,True
V* Z Psc,19.020960020900002,25.76935830696,C-N5,6.84,1.5643,0.0539,29.02,True
V* V1942 Sgr,289.7899733544,-15.908341828600003,C-N5+,6.86,1.5759,0.0409,38.53,True
HD 112127,193.48227174483,26.779995266950003,C-R4IIIb,6.88,7.7945,0.0235,331.68,True
V* Y Tau,86.41420890269,20.695041275089995,C-N5-,6.9,1.5006,0.0592,25.35,True
V* V Aql,286.10064373823,-5.68484564484,C-N5,6.9,2.3257,0.1146,20.29,True
V* V CrB,237.38046749095,39.57163684146,"C6,2e_MS3",6.9,1.1378,0.0238,47.81,True
V* RV Cen,204.40023056754998,-56.476404737029995,C-N3,7.0,1.1569,0.0249,46.46,True
V* WZ Cas,0.31606997761,60.35528497784,C-N7III:,7.13,2.1227,0.0297,71.47,True
V* UZ Pyx,131.65138445264,-29.72811191865001,C-J4,7.17,0.8949,0.0183,48.9,True
V* T Dra,269.09720353641,58.21855093689,"C6,2e",7.2,1.0214,0.0786,12.99,True
V* V996 Cen,213.53062178896997,-53.93199110098,C,7.25,1.7366,0.0354,49.06,True
V* V Oph,246.68211154589,-12.42661581908,C-N:4,7.3,1.348,0.0264,51.06,True
V* S Cep,323.80343045858,78.62449587272,"C7,3e",7.4,2.0452,0.0697,29.34,True
V* V1302 Cen,209.57131206784,-56.35313852395001,C,7.44,1.098,0.023,47.74,True
V* RV Mon,104.58953866134001,6.16709952161,"C4,5",7.47,1.6275,0.0351,46.37,True
V* R For,37.31378234068,-26.09879071825,"C4,3e",7.5,1.8069,0.0358,50.47,True
V* RY Mon,106.73531389966,-7.557362735750001,C-N5,7.5,1.13,0.0254,44.49,True
V* SZ Lep,83.94882339906,-25.73847956557,C-N3.5III,7.59,1.1301,0.017,66.48,True
V* UV Cam,61.47437473794,61.79443723932,C-J4,7.6,1.1913,0.0187,63.71,True
V* T Cnc,134.16723996003,19.849144429819997,C-N5,7.6,1.039,0.0682,15.23,True
V* S Cen,186.14132728770997,-49.44020225755,C-R4,7.6,1.5635,0.0291,53.73,True
CGCS 6791,292.60220558264,21.88585023638,"C0,0",7.6,0.2636,0.0954,2.76,False
HD 156074,258.38016897685,42.10632451495,C-R2III,7.61,3.4483,0.0129,267.31,True
V* HK Lyr,280.70835271644,36.95858044416,C-N5,7.65,1.1328,0.0196,57.8,True
V* ST And,354.6880542188699,35.77256743368,"C5,4e_MS3",7.7,0.4614,0.0242,19.07,True
V* V Cyg,310.32611533979,48.14133638345,"C7,4eJ",7.7,1.8331,0.1454,12.61,True
V* TV Cen,183.63190468018996,-51.53262813069,C,7.72,1.1784,0.0234,50.36,True
V* T Cae,71.82884859897,-36.20932536959,C-N4IV:,7.73,0.7755,0.0166,46.72,True
V* R Lep,74.9014528838,-14.80625068865,"C7,6e",7.76,2.1914,0.0602,36.4,True
