Star,RA,Dec,sp_type,v_mag,parallax,plx_error,Calc_Dist,Calc_Dist_Err,Period,Method,Gaia_Dist,Dust_Av,Status,reliable
V* U Hya,159.38863730625002,-13.384542478611111,C-N5,4.82,4.8,0.23,208.33,9.98,7.8883,Carbon_Star_Skip,,0.0,Skipped (Carbon),True
V* Y CVn,191.28260867319,45.44025730789,C-N5,4.87,3.2222,0.1744,310.35,16.8,,,,,,True
*  19 Psc,356.59798519723995,3.48681084702,C-N6,5.02,4.0894,0.2124,244.53,12.7,8.1758,Carbon_Star_Skip,,0.0,Skipped (Carbon),True
V* UU Aur,99.13682126541002,38.44550528378,C-N5-,5.25,2.0387,0.1661,490.51,39.96,,,,,,True
V* U Ant,158.80354589478,-39.56259000568,C-N3,5.38,3.6154,0.0943,276.59,7.21,500.0,Carbon_Star_Skip,,0.0,Skipped (Carbon),True
V* TW Hor,48.1381662957,-57.32154923042,C-N5IIIb:,5.71,2.1714,0.0703,460.53,14.91,,,,,,True
V* R Scl,21.7420579928,-32.54317756523,C-N5+,5.72,2.5437,0.0786,393.13,12.15,,,,,,True
V* X TrA,228.57989792191,-70.07947591614,"C5,5",5.81,2.8588,0.1525,349.8,18.66,,,,,,True
V* V460 Cyg,325.50451287212,35.51019997682,C-N5,5.84,1.6823,0.1203,594.42,42.51,,,,,,True
V* U Cyg,304.9024776324,47.89419352273,"C9,2e",5.9,1.2992,0.03,769.7,17.77,,,,,,True
V* UX Dra,290.39799262491,76.55959921158,C-N5,5.94,2.1294,0.0944,469.62,20.82,92.7749,Carbon_Star_Skip,,0.0,Skipped (Carbon),True
V* VY UMa,161.26679388016,67.41138307285,C-N5,5.95,2.3813,0.0777,419.94,13.7,,,,,,True
V* T Ind,320.03951460007,-45.02189128616,"C7,2",6.0,1.6232,0.0716,616.07,27.17,8.0144,Carbon_Star_Skip,,0.0,Skipped (Carbon),True
V* BL Ori,96.36739264613,14.72199226372,C-N5-,6.0,1.3544,0.0877,738.33,47.81,,,,,,True
V* W Ori,76.34882946369,1.17762628862,C-N5,6.1,2.0398,0.1585,490.24,38.09,,,,,,True
HD 176537,285.40725058993,-22.69536513997,K3III,6.215,1.7301,0.0375,578.0,12.53,,,,,,True
V* NP Pup,103.61118148704,-42.36557181146,C-N4.5,6.27,1.7266,0.0414,579.17,13.89,,,,,,True
V* RY Dra,194.107963484,65.99439212941,C-N3III:,6.34,2.4891,0.048,401.75,7.75,500.0,Carbon_Star_Skip,,0.0,Skipped (Carbon),True
V* X Cnc,133.84534140623,17.2312730583,C-N4.5,6.4,1.75,0.1194,571.43,38.99,,,,,,True
V* Y Pav,321.06979140641,-69.73387784589,"C7,3",6.41,1.2418,0.0986,805.28,63.94,,,,,,True
V* RS Cyg,303.34859036417,38.72901945302,C-N5.5,6.5,1.3294,0.0227,752.22,12.84,12.4211,Carbon_Star_Skip,,0.0,Skipped (Carbon),True
V* W CMa,107.01431690315002,-11.923276711940002,C-N5,6.56,1.4527,0.0513,688.37,24.31,2.6251,Carbon_Star_Skip,,0.0,Skipped (Carbon),True
V* SS Vir,186.30997843542,0.7697074278800001,C-N4.5:,6.6,1.8106,0.0758,552.3,23.12,101.1071,Carbon_Star_Skip,,0.0,Skipped (Carbon),True
V* Y Hya,147.76549053737,-23.01731975558,C-N4.5III:,6.63,2.1991,0.0961,454.73,19.87,23.058,Carbon_Star_Skip,,0.0,Skipped (Carbon),True
V* V Pav,265.82891594014,-57.72396938392,"C6,4",6.673,1.7925,0.1347,557.88,41.92,,,,,,True
HD 178690,287.15706250855,24.179305569830003,C,6.68,0.9649,0.0232,1036.38,24.92,,,,,,True
V* AQ Sgr,293.5791439481195,-16.3741802523725,C-N5,6.7,1.7946,0.1671,557.23,51.88,13.5423,Carbon_Star_Skip,,0.0,Skipped (Carbon),True
V* AB Ant,152.97425013375,-35.32473603413,C-N4.5III:,6.74,1.2235,0.0275,817.33,18.37,,,,,,True
V* S Sct,282.58348657969,-7.90761921371,C-N5,6.8,2.3568,0.0528,424.3,9.51,,,,,,True
V* V Hya,162.90525661376,-21.25009275779,C-N:6,6.8,2.3095,0.108,432.99,20.25,,,,,,True
V* Z Psc,19.0209600209,25.76935830696,C-N5,6.84,1.5643,0.0539,639.26,22.03,11.2594,Carbon_Star_Skip,,0.0,Skipped (Carbon),True
V* V1942 Sgr,289.7899733544,-15.908341828600005,C-N5+,6.86,1.5759,0.0409,634.56,16.47,,,,,,True
